semestre,cursos_matriculados,horas_trabajo_semanal,modalidad_trabajo,turno_clases,asistencia_pct,horas_estudio_semanal,promedio_ponderado,cursos_jalados_acumulados,entrega_trabajos_pct,participacion_clase,distancia_campus_km,internet_estable,apoyo_familiar,uso_tutoria,deuda_pension,promedio_t1,promedio_t2,cursos_en_riesgo_notas,pct_creditos_riesgo,situacion_academica
6,4,9,remoto,noche,82.3,9.2,5.0,4,86.1,3,0.0,1,2,1,1,6.64,2.02,2,0.5,RIESGO_ALTO
8,2,12,sin_trabajo,sabado_domingo,71.3,2.7,5.0,1,75.5,3,15.0,1,5,0,2,5.56,4.63,1,0.5,RIESGO_ALTO
1,3,10,presencial,noche,53.9,2.6,5.0,0,61.9,2,21.3,1,5,0,0,6.46,7.16,1,0.33,RIESGO_ALTO
2,3,8,mixto,sabado_domingo,57.2,8.7,5.0,0,52.0,3,45.2,1,4,0,0,6.74,4.31,1,0.33,RIESGO_ALTO
6,3,8,mixto,sabado_domingo,90.6,7.1,5.0,0,100.0,3,51.7,1,1,1,1,5.92,6.22,1,0.33,EN_RIESGO
5,5,9,presencial,noche,70.1,4.6,5.0,2,64.4,3,13.4,0,3,1,0,7.31,3.13,2,0.4,RIESGO_ALTO
9,3,12,mixto,sabado_domingo,84.3,7.9,5.0,1,80.0,3,14.4,0,4,0,1,5.13,3.44,2,0.67,RIESGO_ALTO
1,3,10,mixto,sabado_domingo,52.9,11.2,5.0,1,59.6,1,14.4,1,1,1,0,6.76,3.84,1,0.33,RIESGO_ALTO
4,4,10,presencial,sabado_domingo,76.3,14.5,5.0,2,71.6,3,19.4,0,4,0,1,2.94,3.94,3,0.75,RIESGO_ALTO
3,4,10,mixto,sabado_domingo,40.3,11.6,5.0,0,34.6,4,27.5,1,1,1,0,4.26,1.27,2,0.5,DESERCION_PROBABLE
8,5,8,presencial,noche,61.2,12.1,6.21,3,79.3,4,23.6,1,2,1,0,4.87,1.64,3,0.6,RIESGO_ALTO
3,2,10,remoto,noche,52.9,12.2,5.0,1,57.0,3,1.5,1,5,0,1,3.53,2.69,1,0.5,RIESGO_ALTO
2,2,8,mixto,noche,75.8,14.4,5.0,1,88.8,3,6.0,1,5,0,0,6.3,2.22,1,0.5,EN_RIESGO
6,5,10,presencial,noche,72.7,11.7,5.0,3,75.6,3,4.7,1,2,0,1,4.61,2.53,3,0.6,DESERCION_PROBABLE
5,4,8,presencial,noche,79.6,9.8,5.0,2,88.6,2,11.1,1,4,0,0,3.53,6.01,3,0.75,RIESGO_ALTO
8,4,8,presencial,sabado_domingo,66.5,7.4,5.0,2,68.3,3,23.8,1,4,1,2,5.56,8.27,2,0.5,RIESGO_ALTO
2,5,4,mixto,sabado_domingo,70.5,11.4,5.0,2,78.4,3,7.8,1,4,1,2,4.4,7.75,3,0.6,RIESGO_ALTO
6,5,10,presencial,noche,39.9,11.5,5.0,2,53.4,3,8.8,1,2,0,0,9.49,5.01,1,0.2,RIESGO_ALTO
2,5,9,remoto,sabado_domingo,91.4,7.2,5.0,0,100.0,4,14.0,1,2,1,0,6.83,4.68,2,0.4,EN_RIESGO
9,4,4,presencial,noche,70.1,16.2,5.0,2,91.5,2,39.8,1,4,0,0,5.56,3.02,2,0.5,RIESGO_ALTO
7,2,8,mixto,noche,83.3,6.3,5.0,3,91.8,2,49.4,0,4,0,1,3.0,5.14,1,0.5,RIESGO_ALTO
6,3,0,mixto,noche,100.0,15.2,5.0,1,100.0,5,4.4,1,4,0,0,8.02,3.65,1,0.33,APROBADO_REGULAR
7,2,9,remoto,noche,75.3,5.0,5.0,3,93.3,4,11.9,1,2,0,2,4.13,3.62,1,0.5,RIESGO_ALTO
3,3,9,presencial,noche,49.6,2.7,5.0,1,48.6,2,15.5,1,4,0,0,6.74,3.83,1,0.33,DESERCION_PROBABLE
5,3,9,mixto,noche,69.6,9.2,5.0,1,62.3,3,3.2,1,2,1,1,4.48,8.45,2,0.67,RIESGO_ALTO
10,5,4,sin_trabajo,noche,72.1,13.5,5.0,4,85.8,3,39.3,1,5,0,2,6.22,6.73,2,0.4,RIESGO_ALTO
5,3,8,presencial,noche,81.2,8.5,5.0,3,86.4,2,1.0,1,4,0,2,1.33,6.02,3,1.0,DESERCION_PROBABLE
10,4,8,presencial,noche,76.7,16.7,5.0,8,78.2,4,31.6,1,3,1,2,7.33,2.62,1,0.25,RIESGO_ALTO
4,3,9,sin_trabajo,sabado_domingo,67.8,10.7,5.0,2,75.2,2,34.3,1,5,0,1,3.4,5.7,2,0.67,RIESGO_ALTO
9,5,8,mixto,noche,70.7,9.0,5.0,4,81.5,3,0.0,1,3,1,3,4.08,3.62,3,0.6,DESERCION_PROBABLE
8,2,12,sin_trabajo,sabado_domingo,59.1,5.0,5.0,2,59.6,2,17.6,1,1,0,0,1.93,6.82,2,1.0,DESERCION_PROBABLE
6,5,9,remoto,sabado_domingo,59.5,8.0,5.0,1,68.8,3,22.0,1,2,0,0,6.52,8.5,2,0.4,RIESGO_ALTO
1,2,8,mixto,noche,81.5,12.0,5.0,1,83.0,3,4.6,0,3,0,0,2.61,4.92,2,1.0,RIESGO_ALTO
2,5,8,presencial,sabado_domingo,44.4,7.9,5.0,1,44.0,1,17.5,1,4,0,2,7.08,6.62,2,0.4,DESERCION_PROBABLE
2,4,10,mixto,sabado_domingo,49.3,5.2,5.0,0,56.4,2,0.7,1,1,1,2,0.13,5.37,4,1.0,DESERCION_PROBABLE
4,5,8,presencial,noche,80.2,12.7,5.0,0,93.1,3,14.7,1,2,1,1,3.49,4.58,3,0.6,RIESGO_ALTO
2,4,12,presencial,sabado_domingo,58.2,4.5,5.0,1,69.9,2,14.4,1,2,0,0,3.81,2.44,3,0.75,DESERCION_PROBABLE
10,5,8,remoto,noche,79.0,9.6,5.0,2,90.8,3,29.6,1,1,0,2,3.83,5.74,3,0.6,RIESGO_ALTO
6,5,8,presencial,noche,91.2,6.7,5.0,2,98.4,3,50.3,0,3,0,1,6.61,6.7,2,0.4,EN_RIESGO
3,3,9,presencial,sabado_domingo,84.0,9.2,5.0,1,86.2,3,3.2,1,2,1,2,6.22,5.87,1,0.33,EN_RIESGO
9,5,9,presencial,noche,86.2,8.2,5.0,4,82.4,2,2.4,1,3,1,0,6.18,5.68,2,0.4,RIESGO_ALTO
6,2,9,remoto,sabado_domingo,92.2,6.3,5.0,1,92.7,3,13.0,1,4,0,1,5.37,3.75,1,0.5,RIESGO_ALTO
3,2,10,presencial,noche,72.4,7.5,5.0,2,83.8,1,2.4,1,1,0,1,8.03,6.26,1,0.5,RIESGO_ALTO
6,5,12,sin_trabajo,noche,44.6,12.4,5.0,1,59.2,2,13.3,1,1,0,0,1.13,6.44,4,0.8,DESERCION_PROBABLE
1,3,9,mixto,noche,92.1,6.8,5.0,0,99.8,4,15.0,1,2,1,1,4.45,3.0,2,0.67,RIESGO_ALTO
4,2,12,presencial,sabado_domingo,45.7,3.9,5.0,2,59.1,1,6.4,0,2,0,0,9.07,5.13,0,0.0,RIESGO_ALTO
10,3,12,sin_trabajo,sabado_domingo,67.7,2.1,5.0,5,77.3,2,12.5,1,3,0,3,3.79,8.26,2,0.67,DESERCION_PROBABLE
7,3,4,sin_trabajo,sabado_domingo,85.7,11.7,5.0,3,80.0,2,28.2,1,2,0,2,6.1,4.1,1,0.33,RIESGO_ALTO
7,2,8,remoto,noche,96.1,7.1,5.0,3,94.7,3,2.7,1,4,1,2,4.28,6.02,1,0.5,RIESGO_ALTO
10,3,8,sin_trabajo,noche,93.9,15.3,5.0,3,92.5,3,7.6,1,3,1,0,0.74,1.34,3,1.0,RIESGO_ALTO
5,5,10,mixto,noche,63.0,11.6,5.0,2,61.2,3,23.6,1,3,0,3,10.09,5.37,0,0.0,RIESGO_ALTO
5,5,0,mixto,noche,89.8,15.7,5.0,4,87.9,3,66.9,0,5,1,2,7.28,2.62,2,0.4,EN_RIESGO
3,2,0,mixto,sabado_domingo,79.4,19.4,5.0,2,82.1,3,25.6,1,2,0,0,5.55,6.46,1,0.5,EN_RIESGO
2,5,8,mixto,noche,73.6,9.5,5.0,0,85.5,3,20.2,1,2,1,0,4.66,7.0,3,0.6,RIESGO_ALTO
3,4,8,presencial,sabado_domingo,66.8,8.2,5.0,0,68.8,3,3.6,0,5,0,1,6.45,6.33,2,0.5,RIESGO_ALTO
3,3,9,presencial,sabado_domingo,75.3,10.6,5.0,1,62.9,3,56.5,1,3,0,1,6.69,4.56,1,0.33,RIESGO_ALTO
3,4,10,presencial,sabado_domingo,66.3,9.6,5.0,2,78.9,4,11.4,1,3,1,3,3.18,5.18,3,0.75,DESERCION_PROBABLE
1,5,8,presencial,noche,49.4,8.3,5.0,0,62.0,3,33.4,0,5,1,1,8.42,6.7,1,0.2,EN_RIESGO
5,2,9,remoto,noche,63.8,6.2,5.0,2,67.9,2,6.3,1,4,0,1,8.28,6.48,0,0.0,RIESGO_ALTO
4,4,8,remoto,sabado_domingo,68.9,2.0,5.0,2,68.9,3,4.4,1,1,0,1,5.39,4.63,2,0.5,DESERCION_PROBABLE
1,2,8,presencial,noche,52.9,7.5,5.0,0,58.9,3,0.8,1,3,1,1,2.1,4.37,2,1.0,DESERCION_PROBABLE
9,3,8,presencial,noche,62.7,8.6,5.0,3,82.9,3,74.0,1,5,1,1,4.88,6.16,2,0.67,RIESGO_ALTO
1,2,9,presencial,noche,76.2,7.2,5.0,0,83.9,2,7.3,1,4,0,0,4.74,5.15,1,0.5,RIESGO_ALTO
9,4,4,mixto,noche,83.7,12.9,5.0,4,90.3,4,31.0,1,4,1,0,6.52,6.12,2,0.5,EN_RIESGO
1,4,9,remoto,sabado_domingo,83.0,8.0,5.0,1,86.9,4,1.0,1,5,1,2,3.11,2.81,3,0.75,RIESGO_ALTO
2,5,10,remoto,noche,46.1,1.5,5.0,0,48.9,2,7.5,0,2,0,2,4.85,4.38,3,0.6,DESERCION_PROBABLE
10,2,8,remoto,noche,81.4,13.1,5.0,3,76.9,4,14.0,1,2,1,0,5.06,5.84,1,0.5,EN_RIESGO
6,3,4,remoto,sabado_domingo,80.5,13.8,5.0,1,82.2,2,7.0,0,3,1,1,7.14,4.79,1,0.33,EN_RIESGO
6,5,8,presencial,noche,77.4,5.6,5.0,2,92.2,3,5.4,1,5,0,1,1.04,6.5,5,1.0,DESERCION_PROBABLE
3,5,9,mixto,sabado_domingo,75.9,7.5,5.0,2,79.4,3,19.7,1,4,1,0,7.88,5.52,1,0.2,EN_RIESGO
6,3,9,remoto,noche,59.8,9.5,5.0,1,55.4,2,59.4,1,4,1,2,11.51,2.51,0,0.0,EN_RIESGO
9,4,9,remoto,noche,88.4,6.1,5.0,3,92.5,4,80.0,1,4,0,1,7.78,3.44,1,0.25,EN_RIESGO
7,2,8,mixto,noche,59.0,9.1,5.0,3,58.1,2,6.7,1,2,0,1,4.75,4.29,1,0.5,DESERCION_PROBABLE
5,4,9,presencial,sabado_domingo,77.6,10.1,5.0,1,90.3,4,0.4,1,3,0,0,2.75,5.06,3,0.75,RIESGO_ALTO
1,5,8,sin_trabajo,noche,79.3,13.6,5.0,1,78.2,2,4.0,0,3,1,0,4.44,6.27,3,0.6,RIESGO_ALTO
1,2,8,remoto,noche,72.9,9.3,5.0,1,53.8,4,13.2,1,4,1,0,5.37,3.47,1,0.5,RIESGO_ALTO
4,3,8,presencial,noche,59.6,10.4,5.0,1,57.0,3,0.8,1,4,0,1,6.41,6.86,1,0.33,RIESGO_ALTO
7,2,9,mixto,noche,60.4,15.9,5.0,1,66.9,2,30.2,1,4,1,3,2.89,4.55,1,0.5,RIESGO_ALTO
1,2,12,mixto,sabado_domingo,71.3,6.6,5.0,0,86.2,4,50.7,1,4,0,1,4.63,1.52,1,0.5,RIESGO_ALTO
10,2,9,presencial,sabado_domingo,72.0,5.7,5.0,4,74.7,3,12.0,1,4,1,0,5.65,7.08,1,0.5,RIESGO_ALTO
7,2,8,presencial,noche,71.1,4.5,5.0,1,65.1,4,7.5,1,1,1,1,1.51,5.24,2,1.0,DESERCION_PROBABLE
5,3,10,presencial,noche,62.6,8.2,5.0,1,66.8,2,21.6,1,4,0,1,4.02,5.46,2,0.67,DESERCION_PROBABLE
9,4,4,remoto,sabado_domingo,93.0,10.5,5.0,1,100.0,2,7.0,1,3,1,0,6.04,8.89,2,0.5,EN_RIESGO
9,4,10,mixto,noche,46.0,6.0,5.0,4,57.8,2,69.4,0,5,0,1,8.55,7.94,1,0.25,RIESGO_ALTO
7,3,8,mixto,sabado_domingo,75.9,10.2,5.0,4,90.0,3,7.4,0,4,1,1,7.49,3.2,1,0.33,RIESGO_ALTO
9,4,9,presencial,noche,85.4,11.9,5.0,2,98.7,4,6.6,1,2,1,0,3.43,4.64,3,0.75,RIESGO_ALTO
3,2,9,sin_trabajo,sabado_domingo,88.5,8.0,5.0,0,98.2,3,48.5,1,4,1,0,5.1,5.66,1,0.5,EN_RIESGO
2,2,8,mixto,noche,63.4,9.7,5.0,0,71.8,3,21.2,1,5,1,2,5.04,4.52,1,0.5,RIESGO_ALTO
8,5,10,presencial,sabado_domingo,36.8,9.7,5.0,3,24.9,2,24.5,1,5,0,2,4.06,5.53,3,0.6,DESERCION_PROBABLE
3,2,8,remoto,noche,100.0,4.8,5.28,0,91.4,4,14.6,0,5,0,0,4.43,2.86,1,0.5,EN_RIESGO
4,2,8,mixto,noche,80.8,9.2,5.0,1,84.3,3,5.0,0,5,0,0,1.35,3.48,2,1.0,RIESGO_ALTO
7,2,10,presencial,noche,57.2,10.8,5.0,3,57.8,4,29.0,1,4,1,0,2.95,4.78,1,0.5,RIESGO_ALTO
8,4,4,remoto,noche,92.3,9.6,5.0,4,100.0,3,11.9,1,1,0,1,3.54,2.95,3,0.75,RIESGO_ALTO
3,4,8,sin_trabajo,sabado_domingo,85.3,6.5,5.0,2,85.7,5,4.8,1,1,0,1,6.47,7.92,2,0.5,RIESGO_ALTO
7,4,9,remoto,sabado_domingo,51.4,14.0,5.0,1,44.3,3,5.3,1,1,0,2,3.31,6.08,3,0.75,DESERCION_PROBABLE
8,4,12,mixto,noche,54.7,5.7,5.0,1,64.8,3,2.6,0,1,1,0,2.77,4.99,3,0.75,DESERCION_PROBABLE
4,4,8,mixto,noche,80.0,11.3,5.0,1,88.7,3,4.0,1,3,0,0,0.33,7.7,4,1.0,RIESGO_ALTO
6,5,8,sin_trabajo,noche,77.0,8.3,5.0,3,75.8,4,5.6,1,3,1,0,5.01,3.67,3,0.6,RIESGO_ALTO
5,5,8,mixto,noche,66.0,6.1,5.0,2,69.8,2,23.0,1,2,0,0,4.69,3.9,3,0.6,DESERCION_PROBABLE
4,2,12,sin_trabajo,noche,76.8,11.1,5.0,2,77.7,2,59.0,1,2,0,0,1.66,5.78,2,1.0,DESERCION_PROBABLE
10,3,9,presencial,noche,72.5,4.6,5.0,4,78.4,4,14.9,1,2,1,0,4.77,3.55,2,0.67,DESERCION_PROBABLE
4,4,9,mixto,sabado_domingo,73.4,6.0,5.0,1,85.2,4,11.2,1,3,0,1,8.53,4.57,1,0.25,EN_RIESGO
9,3,9,mixto,noche,75.3,9.0,5.0,3,92.0,4,20.2,1,1,0,3,5.7,5.6,1,0.33,RIESGO_ALTO
9,4,10,presencial,noche,64.0,3.4,5.0,2,68.4,3,0.2,1,3,0,1,4.52,6.36,2,0.5,DESERCION_PROBABLE
7,3,9,presencial,noche,89.8,9.8,5.0,4,84.9,4,20.4,1,3,0,3,5.31,6.53,2,0.67,RIESGO_ALTO
1,2,9,remoto,noche,75.6,10.8,5.0,1,67.7,4,15.7,1,5,1,0,0.93,5.93,2,1.0,RIESGO_ALTO
7,3,8,presencial,noche,88.1,9.2,5.0,5,85.0,5,4.5,1,5,0,0,6.58,5.68,1,0.33,EN_RIESGO
3,5,10,presencial,noche,55.0,6.2,5.0,1,68.4,2,23.4,1,5,0,1,4.07,4.54,3,0.6,DESERCION_PROBABLE
7,4,9,remoto,sabado_domingo,61.8,9.7,5.0,3,79.5,2,14.1,1,5,0,2,4.56,0.18,2,0.5,DESERCION_PROBABLE
8,4,8,presencial,noche,73.2,12.6,5.0,3,82.8,4,1.9,1,4,0,0,5.7,3.2,2,0.5,RIESGO_ALTO
3,4,8,remoto,noche,65.9,12.8,5.0,1,73.8,3,17.0,1,2,0,3,5.66,6.85,2,0.5,RIESGO_ALTO
1,2,9,mixto,noche,81.1,8.6,5.0,0,94.8,3,45.4,1,1,0,0,6.43,10.24,1,0.5,EN_RIESGO
10,5,9,mixto,sabado_domingo,58.7,9.4,5.0,5,62.2,1,23.5,1,5,0,2,3.4,4.87,3,0.6,DESERCION_PROBABLE
2,5,8,remoto,noche,71.5,9.4,5.0,2,74.9,1,24.4,1,4,1,0,3.67,3.73,3,0.6,RIESGO_ALTO
7,4,8,presencial,noche,57.7,7.4,5.0,3,79.6,2,0.1,1,4,0,1,1.68,8.64,3,0.75,DESERCION_PROBABLE
7,5,9,mixto,noche,85.5,10.9,5.0,3,86.6,5,13.9,1,5,1,0,3.62,2.93,3,0.6,RIESGO_ALTO
6,2,8,presencial,noche,76.8,13.3,5.0,1,87.0,3,20.5,1,1,0,1,6.13,4.88,1,0.5,RIESGO_ALTO
6,3,8,mixto,sabado_domingo,98.3,10.8,5.0,2,100.0,4,26.0,1,2,1,2,2.43,3.61,2,0.67,RIESGO_ALTO
4,2,4,remoto,noche,87.8,8.6,5.0,0,96.8,3,12.2,0,2,1,0,8.45,5.21,0,0.0,APROBADO_REGULAR
6,2,8,presencial,noche,74.8,8.1,5.0,4,99.4,4,5.4,1,5,0,2,2.65,5.67,2,1.0,RIESGO_ALTO
5,5,8,presencial,noche,89.2,11.1,5.0,3,100.0,4,14.7,1,5,0,0,7.69,6.6,2,0.4,EN_RIESGO
9,2,9,sin_trabajo,sabado_domingo,78.0,4.4,5.0,2,91.9,1,18.8,1,1,0,3,6.1,6.88,1,0.5,RIESGO_ALTO
5,4,4,mixto,noche,78.5,10.0,5.0,2,86.3,4,24.9,0,1,0,3,6.91,5.95,1,0.25,RIESGO_ALTO
2,5,8,remoto,noche,78.3,13.2,5.0,1,63.0,4,2.5,1,5,1,3,4.41,4.16,3,0.6,RIESGO_ALTO
8,5,9,presencial,sabado_domingo,75.0,9.2,5.0,2,80.0,3,17.3,1,3,1,1,5.51,6.64,2,0.4,RIESGO_ALTO
5,5,12,remoto,noche,57.3,5.3,5.0,4,60.8,3,4.7,1,2,0,0,1.9,4.18,4,0.8,DESERCION_PROBABLE
8,2,9,mixto,noche,66.2,7.5,5.0,2,66.7,3,2.4,0,2,1,1,4.85,2.57,1,0.5,RIESGO_ALTO
