edad,ciclo,trabaja,horas_trabajo_semanal,modalidad_trabajo,tiempo_transporte,carga_familiar,tiene_beca,num_cursos_matriculados,horas_estudio_semanal,horas_sueno,nivel_estres,salud_mental_autopercibida,asistencia_pct,entendimiento_curso,T1,T2,examen_final,nota_final,situacion_academica,modalidad_trabajo_enc,situacion_enc,cluster,pca_x,pca_y,perfil_academico
29,6,1,25.3,Hibrido,1.13,0,0,4,11.3,6.5,4.7,8.0,83.4,4.1,11.8,9.9,10.8,10.73,Riesgo,0,2,3,0.2964773771123349,-0.7234031445808781,Riesgo por Ausentismo Laboral
28,6,0,0.0,No aplica,0.44,0,0,6,25.0,6.8,2.4,5.1,89.2,8.5,12.8,11.5,17.3,14.66,Aprobado,1,0,2,-3.261805491350098,-0.39588228752453725,Estudiante de Alto Rendimiento
29,2,0,0.0,No aplica,0.4,2,0,7,16.9,6.9,3.8,8.8,86.7,7.9,13.5,10.8,16.4,14.14,Aprobado,1,0,2,-1.8521615016114912,1.1491097818324896,Estudiante de Alto Rendimiento
25,4,0,0.0,No aplica,0.23,0,0,3,17.3,7.8,2.1,7.5,89.7,5.7,11.6,10.8,20.0,15.56,Aprobado,1,0,2,-2.1756290942401026,-0.3505051877542213,Estudiante de Alto Rendimiento
19,1,1,36.0,Hibrido,1.23,1,1,5,7.3,5.8,9.0,4.8,82.3,5.8,14.3,14.8,9.4,12.0,Aprobado,0,0,3,1.6937928581959694,0.19703133424149866,Riesgo por Ausentismo Laboral
30,8,1,38.7,Remoto,0.27,0,0,6,6.4,6.9,8.4,5.7,81.8,5.6,10.8,9.6,11.0,10.54,Riesgo,3,2,3,1.6590167524938886,-0.6654154493782464,Riesgo por Ausentismo Laboral
24,8,1,43.7,Presencial,0.48,3,0,7,4.7,5.1,8.7,3.0,76.6,1.6,10.2,7.7,1.8,5.25,Desercion,2,1,0,3.4874921444908664,1.3880765350630897,Vulnerable por Carga Familiar y Estres
25,3,1,32.0,Presencial,0.9,2,0,5,8.1,5.8,6.8,6.8,75.6,8.0,14.6,12.6,14.6,14.0,Aprobado,2,0,0,0.9981747949178287,0.49069727990207057,Vulnerable por Carga Familiar y Estres
23,3,1,42.6,Remoto,0.23,1,0,5,13.3,4.3,8.0,5.4,81.7,4.3,7.9,7.8,8.0,7.92,Riesgo,3,2,3,1.5851216439631142,-0.015844676049757325,Riesgo por Ausentismo Laboral
20,4,0,0.0,No aplica,0.22,0,0,7,27.2,6.7,1.0,10.0,87.7,7.2,10.2,13.5,18.6,15.39,Aprobado,1,0,2,-3.3838139144863946,-0.5683519425340219,Estudiante de Alto Rendimiento
31,9,1,31.2,Hibrido,1.3,2,0,7,5.0,5.3,9.3,4.1,70.0,6.9,8.9,7.8,6.0,7.12,Riesgo,0,2,0,2.256438883440609,0.5915634656576444,Vulnerable por Carga Familiar y Estres
29,5,1,32.8,Hibrido,0.53,0,0,6,11.4,6.7,4.6,6.6,86.1,7.4,11.3,11.1,13.7,12.44,Aprobado,0,0,1,-0.3281143748748441,-0.8430440509991605,Trabajador Esforzado
27,8,1,15.4,Presencial,2.18,1,0,6,13.4,7.0,4.7,5.8,87.6,7.1,11.6,10.2,15.7,13.23,Aprobado,2,0,1,-0.8961815429950789,0.27779198783862424,Trabajador Esforzado
24,5,0,0.0,No aplica,0.43,3,0,6,18.8,7.6,2.6,7.0,79.6,5.8,11.0,13.3,16.7,14.54,Aprobado,1,0,2,-1.344785731486162,1.552881792423259,Estudiante de Alto Rendimiento
30,7,0,0.0,No aplica,0.56,1,0,6,19.7,8.3,1.2,8.4,86.9,6.0,13.5,13.8,17.8,15.74,Aprobado,1,0,2,-2.3590825118430416,0.18661781437497052,Estudiante de Alto Rendimiento
26,6,1,17.0,Presencial,1.71,3,1,5,17.3,6.1,7.5,5.5,92.7,6.3,9.0,7.7,10.3,9.26,Riesgo,2,2,0,-0.349557372140846,2.2158769135465612,Vulnerable por Carga Familiar y Estres
24,3,0,0.0,No aplica,0.32,0,0,3,22.8,6.5,1.8,8.8,95.8,6.5,9.3,9.1,16.5,12.84,Aprobado,1,0,2,-3.1170027468804036,-0.1818745140082376,Estudiante de Alto Rendimiento
24,9,1,21.1,Presencial,1.67,1,0,7,7.2,6.9,5.5,5.1,76.7,5.6,9.4,10.7,8.4,9.29,Riesgo,2,2,3,0.7690333971870206,-0.09676183471641092,Riesgo por Ausentismo Laboral
21,8,1,29.9,Presencial,0.39,3,0,6,12.6,5.6,9.2,3.9,74.8,2.8,7.5,9.6,7.7,8.23,Riesgo,2,2,0,2.3934942528329697,1.5999037286856712,Vulnerable por Carga Familiar y Estres
19,8,0,0.0,No aplica,0.64,2,1,4,22.1,6.3,3.0,7.7,94.5,7.6,9.5,10.1,14.0,11.93,Aprobado,1,0,2,-2.7269148285314158,1.3490574641163353,Estudiante de Alto Rendimiento
26,10,0,0.0,No aplica,0.21,3,0,5,26.6,6.5,3.3,5.1,89.3,5.1,10.1,12.2,14.1,12.73,Aprobado,1,0,2,-2.091200322665644,1.9863763435055226,Estudiante de Alto Rendimiento
31,3,1,22.8,Hibrido,0.3,2,1,3,12.3,5.8,4.2,7.6,95.8,6.2,11.7,13.2,12.0,12.3,Aprobado,0,0,1,-0.7635327751044448,1.139956391053369,Trabajador Esforzado
18,1,1,37.2,Presencial,1.96,0,0,6,11.1,7.8,4.9,6.1,68.4,6.8,10.3,14.1,14.0,13.29,Aprobado,2,0,3,0.8770042164432815,-1.5071609370458536,Riesgo por Ausentismo Laboral
30,6,1,29.3,Presencial,1.72,0,0,5,8.2,6.2,5.1,6.3,73.8,6.2,10.5,9.1,9.2,9.43,Riesgo,2,2,3,0.755362892325709,-1.1394343726080196,Riesgo por Ausentismo Laboral
30,4,1,33.5,Presencial,1.76,2,1,7,3.0,6.1,6.7,6.9,80.5,6.9,12.2,15.6,11.2,12.72,Aprobado,2,0,0,1.4069591298284965,0.6504665122512338,Vulnerable por Carga Familiar y Estres
22,5,1,20.4,Presencial,2.28,3,0,4,6.6,7.0,7.0,4.2,73.6,7.5,8.6,11.0,9.8,9.92,Riesgo,2,2,0,1.1102157085518158,1.397278941947101,Vulnerable por Carga Familiar y Estres
27,3,1,28.6,Presencial,2.18,2,0,6,10.3,7.9,5.6,5.1,78.1,6.1,12.1,10.6,12.0,11.6,Aprobado,2,0,0,0.7479863547278138,0.5553377227335399,Vulnerable por Carga Familiar y Estres
20,4,1,38.8,Hibrido,0.72,0,0,4,15.2,5.9,6.8,3.1,67.9,6.5,10.9,12.2,12.0,11.84,Aprobado,0,0,3,1.1252932943178595,-1.347798518652438,Riesgo por Ausentismo Laboral
29,4,0,0.0,No aplica,0.23,1,0,5,18.2,5.5,2.9,7.4,88.8,6.6,12.3,11.6,14.5,13.19,Aprobado,1,0,2,-2.093311092736296,0.4196889112661403,Estudiante de Alto Rendimiento
28,4,1,23.6,Presencial,1.29,1,0,4,8.1,6.4,7.8,5.9,76.4,8.3,11.4,12.3,10.8,11.37,Aprobado,2,0,1,0.7227219360047926,0.031573574417971574,Trabajador Esforzado
23,8,1,25.6,Presencial,1.01,0,0,7,3.5,5.3,6.5,3.4,72.9,5.6,8.2,10.0,10.3,9.79,Riesgo,2,2,3,1.4677374314699922,-0.9454281278310313,Riesgo por Ausentismo Laboral
19,6,1,22.1,Presencial,1.59,1,0,4,12.5,6.0,4.3,5.7,89.6,7.9,11.6,11.5,11.2,11.37,Aprobado,2,0,1,-0.9691173954578743,0.1692556161708094,Trabajador Esforzado
32,5,1,24.7,Remoto,0.0,4,1,6,13.8,7.1,6.8,5.5,100.0,8.4,15.2,18.8,18.3,17.83,Aprobado,3,0,0,-0.669471404898533,2.9558075707153075,Vulnerable por Carga Familiar y Estres
24,2,1,18.8,Presencial,0.37,1,1,3,15.2,5.8,4.3,6.2,96.6,9.5,14.1,15.0,19.2,16.92,Aprobado,2,0,2,-1.9544214119351278,0.4436144780227428,Estudiante de Alto Rendimiento
31,6,0,0.0,No aplica,0.27,0,0,6,17.5,6.3,4.5,6.1,95.9,8.4,11.7,13.1,18.9,15.72,Aprobado,1,0,2,-2.5388426451338995,0.06432136085742392,Estudiante de Alto Rendimiento
28,2,1,35.1,Hibrido,1.0,1,0,5,14.1,6.7,6.4,5.7,76.2,5.2,12.1,13.3,13.1,12.96,Aprobado,0,0,3,1.0058625277858588,-0.2632702279212392,Riesgo por Ausentismo Laboral
29,4,1,23.7,Hibrido,0.85,0,0,7,11.2,6.4,4.5,8.4,79.6,7.1,12.5,14.2,13.7,13.61,Aprobado,0,0,1,-0.25030220895198424,-0.914388452028447,Trabajador Esforzado
29,5,1,29.3,Remoto,0.13,1,1,5,14.4,7.2,6.6,5.5,82.1,7.4,13.9,15.4,13.8,14.3,Aprobado,3,0,1,0.08886207731377851,0.025106732125610976,Trabajador Esforzado
20,2,1,28.2,Presencial,1.62,3,0,3,0.0,6.0,9.5,4.1,71.4,3.0,10.4,11.1,5.3,8.06,Riesgo,2,2,0,3.469697338329268,1.5362257921093885,Vulnerable por Carga Familiar y Estres
23,4,1,38.4,Presencial,1.66,1,0,6,11.0,6.5,7.4,5.5,69.3,5.3,11.7,15.2,9.0,11.4,Aprobado,2,0,3,1.8721098742924227,-0.4652916381277579,Riesgo por Ausentismo Laboral
25,3,1,25.1,Presencial,1.96,3,1,5,4.0,5.0,9.6,1.8,74.8,2.5,8.8,9.0,2.4,5.66,Desercion,2,1,0,3.036666354149094,1.7342026781106528,Vulnerable por Carga Familiar y Estres
25,9,0,0.0,No aplica,0.38,2,1,3,20.3,6.0,4.7,6.8,77.9,10.0,14.6,15.3,20.0,17.51,Aprobado,1,0,2,-1.9371537988199006,0.8863212887881852,Estudiante de Alto Rendimiento
18,9,0,0.0,No aplica,0.11,0,1,3,19.6,7.0,1.9,6.5,98.2,6.4,10.2,14.1,16.0,14.27,Aprobado,1,0,2,-2.94877807207235,-0.08412194433689112,Estudiante de Alto Rendimiento
26,1,0,0.0,No aplica,0.44,1,0,5,18.6,6.7,2.8,7.6,96.3,9.8,14.8,15.7,20.0,17.67,Aprobado,1,0,2,-3.188655686090575,0.6078092888552591,Estudiante de Alto Rendimiento
20,7,1,34.2,Hibrido,0.98,1,0,6,6.7,8.2,3.8,8.1,80.0,7.6,12.2,10.7,11.2,11.25,Aprobado,0,0,1,0.2668667613698253,-0.43617228047583706,Trabajador Esforzado
29,7,1,28.9,Presencial,2.45,0,0,7,0.0,7.3,3.9,6.5,76.0,5.9,12.4,11.6,13.2,12.56,Aprobado,2,0,3,1.053062005138287,-1.1739993312322081,Riesgo por Ausentismo Laboral
28,4,1,30.4,Remoto,0.25,0,0,5,18.2,7.0,4.3,7.8,85.6,4.7,12.5,11.7,13.4,12.71,Aprobado,3,0,1,-0.379191993013173,-0.7913699733065357,Trabajador Esforzado
31,5,1,40.2,Presencial,1.27,2,1,7,9.5,5.7,6.5,3.8,79.5,5.7,9.1,12.9,7.4,9.39,Riesgo,2,2,0,1.3943727508099977,0.49916197643860744,Vulnerable por Carga Familiar y Estres
29,8,1,40.7,Presencial,0.97,0,0,6,9.0,5.0,6.0,6.0,68.1,4.2,11.7,9.8,9.2,9.88,Riesgo,2,2,3,1.9576171968306089,-1.4102915925442547,Riesgo por Ausentismo Laboral
23,4,0,0.0,No aplica,0.54,0,0,5,27.2,8.3,2.5,8.0,84.5,10.0,14.1,12.8,20.0,16.66,Aprobado,1,0,2,-3.50033372511598,-0.5841955250228585,Estudiante de Alto Rendimiento
32,1,1,35.2,Remoto,0.0,1,1,3,10.3,4.8,5.5,3.3,80.6,7.6,12.7,14.6,16.8,15.32,Aprobado,3,0,1,0.37279440777018774,-0.2542948795145652,Trabajador Esforzado
24,4,1,31.8,Presencial,1.95,4,0,7,12.4,5.3,6.1,6.2,67.2,5.1,8.1,12.3,8.1,9.36,Riesgo,2,2,0,1.7858669848398214,1.6587651521722886,Vulnerable por Carga Familiar y Estres
22,3,1,26.3,Presencial,1.59,0,0,6,19.9,6.8,3.0,4.4,83.1,10.0,12.6,11.1,15.6,13.65,Aprobado,2,0,1,-1.9359088295063838,-1.055325400900637,Trabajador Esforzado
31,4,1,32.6,Remoto,0.46,2,1,6,8.4,8.1,4.3,6.9,87.2,4.6,12.7,16.5,10.1,12.54,Aprobado,3,0,0,0.6180300631875895,0.702145850179822,Vulnerable por Carga Familiar y Estres
23,3,1,16.2,Remoto,0.57,0,0,3,12.3,8.2,2.2,8.3,84.5,5.4,11.3,10.2,15.8,13.22,Aprobado,3,0,1,-0.9478874213551971,-0.8103557474925792,Trabajador Esforzado
19,2,1,41.7,Remoto,0.29,0,1,7,7.8,6.6,5.5,5.6,86.6,5.2,13.0,9.7,10.2,10.61,Riesgo,3,2,3,0.8698443483916632,-0.8445102467782393,Riesgo por Ausentismo Laboral
25,10,0,0.0,No aplica,0.04,0,1,4,17.8,8.5875,3.4,7.4,82.0,5.4,12.7,10.1,18.0,14.57,Aprobado,1,0,2,-1.4951397125240213,-0.48139260609050477,Estudiante de Alto Rendimiento
29,2,1,23.1,Remoto,0.08,0,1,5,17.9,6.1,3.7,9.3,88.1,6.1,9.6,10.9,14.0,12.19,Aprobado,3,0,1,-1.1405719954783844,-0.6638093864226109,Trabajador Esforzado
20,8,0,0.0,No aplica,0.24,0,0,5,19.2,7.5,2.8,7.0,82.2,6.9,11.7,11.6,16.9,14.27,Aprobado,1,0,2,-2.0618737797030753,-0.5690298170768753,Estudiante de Alto Rendimiento
24,8,0,0.0,No aplica,0.45,0,0,3,19.4,8.3,1.9,6.8,85.7,7.7,11.8,12.6,18.8,15.54,Aprobado,1,0,2,-2.612845597205921,-0.5560418191470929,Estudiante de Alto Rendimiento
19,7,0,0.0,No aplica,0.25,1,0,6,18.4,5.9,1.6,10.0,85.4,8.1,13.4,13.1,18.6,15.91,Aprobado,1,0,2,-2.5510361874061873,0.13058874794846584,Estudiante de Alto Rendimiento
28,10,1,26.1,Presencial,2.04,0,1,4,4.9,6.9,8.0,4.9,66.8,6.2,10.2,7.9,11.8,10.31,Riesgo,2,2,3,1.8715046162149478,-1.0265362104156814,Riesgo por Ausentismo Laboral
25,1,1,19.4,Presencial,1.65,0,0,5,18.0,6.9,3.6,8.2,86.1,9.2,12.7,14.9,20.0,17.01,Aprobado,2,0,1,-1.855151925149218,-0.7446350174258536,Trabajador Esforzado
22,4,1,36.2,Presencial,2.3,0,0,5,7.9,6.6,7.3,3.4,80.5,4.1,11.1,10.0,10.9,10.67,Riesgo,2,2,3,1.6085271268102241,-0.7500837176836423,Riesgo por Ausentismo Laboral
21,2,1,40.2,Presencial,1.09,3,1,6,12.5,4.8,6.0,3.3,74.4,4.1,9.1,11.4,5.7,8.09,Riesgo,2,2,0,1.769997247712131,1.0369000357372524,Vulnerable por Carga Familiar y Estres
26,6,0,0.0,No aplica,0.1,0,0,7,22.7,7.4,1.0,7.6,89.7,6.5,13.4,15.2,20.0,17.24,Aprobado,1,0,2,-2.992608528754791,-0.48263003005196825,Estudiante de Alto Rendimiento
28,7,1,27.6,Remoto,0.49,1,0,3,6.2,6.6,5.7,5.7,82.1,4.7,10.9,10.5,12.1,11.38,Aprobado,3,0,3,1.0292624536593504,0.018212355401642868,Riesgo por Ausentismo Laboral
32,9,0,0.0,No aplica,0.51,2,0,7,21.6,6.3,2.8,7.0,91.9,9.3,14.7,14.5,20.0,17.29,Aprobado,1,0,2,-2.97214155930106,1.1995185107039255,Estudiante de Alto Rendimiento
24,4,0,0.0,No aplica,0.09,0,0,6,19.1,7.7,1.0,8.0,95.4,8.2,14.0,11.1,20.0,16.13,Aprobado,1,0,2,-3.3592309288967295,-0.31633818954046394,Estudiante de Alto Rendimiento
20,3,1,21.3,Hibrido,1.71,0,0,7,14.5,7.7,4.8,4.5,71.6,7.9,11.6,13.5,14.3,13.52,Aprobado,0,0,1,-0.29640803354012807,-1.1408772349990586,Trabajador Esforzado
30,10,0,0.0,No aplica,0.43,1,0,4,18.2,6.4,4.1,7.0,94.7,4.5,13.1,13.6,18.4,15.9,Aprobado,1,0,2,-1.6639986113499083,0.7999126431839195,Estudiante de Alto Rendimiento
27,7,0,0.0,No aplica,0.07,3,0,5,16.7,7.1,6.1,5.4,94.4,5.3,9.8,11.6,12.8,11.84,Aprobado,1,0,2,-1.0223585234679236,2.456655566867649,Estudiante de Alto Rendimiento
28,8,1,32.0,Presencial,1.58,3,0,3,1.6,7.2,10.0,1.3,66.8,5.0,9.9,8.0,7.5,8.13,Riesgo,2,2,0,3.37357755345417,1.3143743966918264,Vulnerable por Carga Familiar y Estres
19,5,1,30.1,Presencial,1.32,0,0,4,16.4,7.4,5.7,5.6,80.7,5.4,10.9,11.2,16.1,13.59,Aprobado,2,0,1,0.1381306419106561,-0.828209024327504,Trabajador Esforzado
22,5,1,31.7,Presencial,1.93,0,0,7,14.5,6.1,7.3,4.9,65.4,4.7,9.9,7.5,10.0,9.23,Riesgo,2,2,3,1.5650613810600649,-1.2181802059670914,Riesgo por Ausentismo Laboral
29,4,1,17.8,Hibrido,0.89,0,0,6,29.499999999999996,7.7,6.3,6.6,78.2,4.6,8.5,7.3,8.0,7.89,Riesgo,0,2,1,-0.8147539993264247,-0.6150104799739078,Trabajador Esforzado
30,8,1,35.3,Presencial,1.24,0,0,7,10.5,6.0,5.1,5.7,74.2,7.4,11.4,14.2,10.6,11.84,Aprobado,2,0,1,0.49896130953906104,-1.2586007631060867,Trabajador Esforzado
24,3,0,0.0,No aplica,0.4,4,0,7,18.5,7.2,4.1,7.7,91.7,7.4,10.9,11.4,14.5,12.85,Aprobado,1,0,2,-1.7915405372869726,2.8436485872657293,Estudiante de Alto Rendimiento
30,10,0,0.0,No aplica,0.08,0,0,4,19.6,6.5,1.0,9.3,88.3,8.2,10.3,11.7,19.4,15.27,Aprobado,1,0,2,-3.0565630701363973,-0.5686693528844299,Estudiante de Alto Rendimiento
30,2,1,26.9,Presencial,1.73,0,1,4,14.1,5.2,6.1,4.8,90.7,7.1,11.7,9.7,11.5,11.0,Aprobado,2,0,1,-0.5465517489273187,-0.4094390896094975,Trabajador Esforzado
23,5,1,32.6,Remoto,0.69,0,1,3,12.7,6.7,4.5,7.2,91.1,6.4,12.6,11.3,10.6,11.21,Aprobado,3,0,1,-0.4796444576723464,-0.6509062894743399,Trabajador Esforzado
31,4,1,48.0,Remoto,0.0,3,0,5,5.8,6.2,7.9,5.8,76.4,6.1,8.4,7.1,6.2,6.91,Riesgo,3,2,0,2.4146283239017823,1.124080295167251,Vulnerable por Carga Familiar y Estres
22,7,1,31.6,Remoto,0.27,1,0,6,10.2,6.8,5.5,7.1,79.6,4.9,10.1,9.9,8.0,8.99,Riesgo,3,2,3,0.8903820141868051,-0.16767615672958716,Riesgo por Ausentismo Laboral
21,7,0,0.0,No aplica,0.57,0,0,7,0.0,6.5,1.0,8.8,78.0,10.0,14.3,13.8,20.0,17.0,Aprobado,1,0,1,-1.4784759496741324,-0.9740338740865594,Trabajador Esforzado
28,10,1,22.1,Presencial,2.56,0,0,7,10.8,4.6,3.1,7.2,72.3,4.8,11.7,11.0,12.5,11.89,Aprobado,2,0,3,0.26314387049562676,-1.2430979736912913,Riesgo por Ausentismo Laboral
27,8,1,42.2,Presencial,2.73,0,0,4,29.499999999999996,6.8,7.8,3.4,67.9,6.7,12.4,13.0,10.2,11.48,Aprobado,2,0,1,0.3382806815936349,-1.3075832468518547,Trabajador Esforzado
20,3,0,0.0,No aplica,0.0,0,1,5,23.6,8.2,1.0,9.7,90.4,9.4,11.6,15.8,20.0,17.06,Aprobado,1,0,2,-3.713603222846901,-0.5193123724338957,Estudiante de Alto Rendimiento
30,3,1,33.4,Presencial,2.05,3,1,5,5.0,4.4,10.0,2.0,82.6,3.4,13.1,13.0,9.9,11.47,Aprobado,2,0,0,2.748512532049404,1.8849259354260122,Vulnerable por Carga Familiar y Estres
20,9,0,0.0,No aplica,0.36,1,0,6,22.9,6.6,1.9,7.8,89.6,9.2,11.5,11.1,17.6,14.43,Aprobado,1,0,2,-3.2590368260746634,0.2882134144684345,Estudiante de Alto Rendimiento
30,5,1,28.5,Presencial,0.96,1,0,7,14.7,5.5,4.5,7.6,69.5,7.2,11.3,9.3,14.1,12.1,Aprobado,2,0,1,0.22692802472883544,-0.6244051344204526,Trabajador Esforzado
18,1,1,18.6,Remoto,0.23,1,0,3,24.0,6.5,1.8,7.0,100.0,6.7,8.1,8.4,14.4,11.34,Aprobado,3,0,2,-2.7328089778654476,0.36570839969477936,Estudiante de Alto Rendimiento
29,9,1,40.7,Presencial,1.09,1,0,4,2.8,7.1,6.1,5.6,83.7,5.5,9.3,10.4,6.7,8.33,Riesgo,2,2,3,1.5427911531243954,-0.1359475936316575,Riesgo por Ausentismo Laboral
29,7,1,27.8,Hibrido,1.5,2,0,4,3.9,6.1,6.0,4.1,80.0,7.4,10.8,13.3,12.7,12.5,Aprobado,0,0,0,0.9209616503852277,0.6512856033139993,Vulnerable por Carga Familiar y Estres
29,1,1,20.3,Presencial,2.17,0,0,4,16.7,6.2,4.8,6.0,66.8,7.4,13.1,14.6,15.8,14.9,Aprobado,2,0,1,-0.15644558387655083,-1.2827455029073123,Trabajador Esforzado
27,8,0,0.0,No aplica,0.61,1,1,3,23.3,7.2,2.7,6.5,100.0,6.5,14.1,18.4,20.0,18.34,Aprobado,1,0,2,-3.034704548541965,0.7991817262448039,Estudiante de Alto Rendimiento
25,7,1,26.0,Presencial,2.15,1,0,5,14.6,4.6,7.1,4.3,85.3,6.4,11.2,11.5,12.7,12.04,Aprobado,2,0,1,0.13848100577091363,0.27196648486661507,Trabajador Esforzado
28,7,1,32.7,Presencial,2.25,0,0,6,4.6,7.1,6.7,5.9,60.1,3.8,8.1,7.1,7.8,7.65,Riesgo,2,2,3,2.6540523497439708,-1.468912508901412,Riesgo por Ausentismo Laboral
22,9,0,0.0,No aplica,0.44,0,0,5,22.2,7.9,2.3,8.4,78.1,9.7,8.8,10.6,18.7,14.29,Aprobado,1,0,2,-2.798559214296592,-0.826545461857582,Estudiante de Alto Rendimiento
29,5,1,33.8,Remoto,0.1,3,1,5,7.6,5.9,7.9,4.1,83.0,5.0,9.6,6.8,8.5,8.21,Riesgo,3,2,0,1.7448580568244834,1.637754803985966,Vulnerable por Carga Familiar y Estres
26,5,1,12.4,Presencial,2.18,3,1,6,12.3,6.1,5.3,6.4,87.1,4.6,7.9,9.0,13.9,11.23,Aprobado,2,0,0,0.02782161021675653,1.9046719883601955,Vulnerable por Carga Familiar y Estres
24,7,1,35.6,Presencial,2.2,0,1,6,2.7,6.2,4.9,5.9,81.6,4.3,9.2,9.2,5.6,7.4,Riesgo,2,2,3,1.3577048324479695,-0.9565152545688305,Riesgo por Ausentismo Laboral
25,2,1,29.2,Presencial,1.73,0,0,7,8.8,6.2,4.8,6.0,64.8,9.7,11.0,9.6,10.2,10.18,Riesgo,2,2,1,0.3243529992217605,-1.563325157518163,Trabajador Esforzado
26,2,1,27.4,Presencial,1.8,1,0,3,9.6,6.3,6.7,4.2,85.1,5.9,11.3,14.0,9.7,11.31,Aprobado,2,0,1,0.5868802907847379,0.2080474067662281,Trabajador Esforzado
18,9,1,29.1,Hibrido,0.89,2,0,7,4.2,5.0,7.1,4.6,64.3,6.1,9.8,8.6,10.1,9.59,Riesgo,0,2,0,2.211211769314044,0.21289977663060705,Vulnerable por Carga Familiar y Estres
20,3,0,0.0,No aplica,0.16,1,0,3,21.1,7.3,3.3,5.2,95.4,9.7,12.5,13.0,20.0,16.4,Aprobado,1,0,2,-3.2019954902402317,0.6305360345995598,Estudiante de Alto Rendimiento
21,6,1,31.5,Remoto,0.28,3,0,3,14.1,5.5,4.8,8.5,84.0,6.6,10.7,8.7,9.4,9.45,Riesgo,3,2,0,0.11460086686549735,1.3557987507719242,Vulnerable por Carga Familiar y Estres
19,3,0,0.0,No aplica,0.5,3,0,5,19.1,6.7,6.0,6.9,97.8,7.3,11.1,12.5,16.2,14.07,Aprobado,1,0,2,-1.8146743664507594,2.524647068189871,Estudiante de Alto Rendimiento
24,3,0,0.0,No aplica,0.41,0,0,5,17.3,6.7,3.0,9.8,92.3,8.9,14.8,18.9,20.0,18.63,Aprobado,1,0,2,-2.7870466346046543,-0.23164770856247527,Estudiante de Alto Rendimiento
28,6,1,31.3,Hibrido,0.53,0,0,5,12.2,6.6,4.0,7.9,80.8,8.8,13.5,14.3,15.6,14.79,Aprobado,0,0,1,-0.6129228768916443,-1.0970737187205983,Trabajador Esforzado
