edad,ciclo,trabaja,horas_trabajo_semanal,modalidad_trabajo,tiempo_transporte,carga_familiar,tiene_beca,num_cursos_matriculados,horas_estudio_semanal,horas_sueno,nivel_estres,salud_mental_autopercibida,asistencia_pct,entendimiento_curso,T1,T2,examen_final,nota_final,situacion_academica
32,5,1,24.7,Remoto,0.0,4,1,6,13.8,7.1,6.8,5.5,100.0,8.4,15.2,18.8,18.3,17.83,Aprobado
24,2,1,18.8,Presencial,0.37,1,1,3,15.2,5.8,4.3,6.2,96.6,9.5,14.1,15.0,19.2,16.92,Aprobado
31,6,0,0.0,No aplica,0.27,0,0,6,17.5,6.3,4.5,6.1,95.9,8.4,11.7,13.1,18.9,15.72,Aprobado
28,2,1,35.1,Hibrido,1.0,1,0,5,14.1,6.7,6.4,5.7,76.2,5.2,12.1,13.3,13.1,12.96,Aprobado
29,4,1,23.7,Hibrido,0.85,0,0,7,11.2,6.4,4.5,8.4,79.6,7.1,12.5,14.2,13.7,13.61,Aprobado
29,5,1,29.3,Remoto,0.13,1,1,5,14.4,7.2,6.6,5.5,82.1,7.4,13.9,15.4,13.8,14.3,Aprobado
20,2,1,28.2,Presencial,1.62,3,0,3,0.0,6.0,9.5,4.1,71.4,3.0,10.4,11.1,5.3,8.06,Riesgo
23,4,1,38.4,Presencial,1.66,1,0,6,11.0,6.5,7.4,5.5,69.3,5.3,11.7,15.2,9.0,11.4,Aprobado
25,3,1,25.1,Presencial,1.96,3,1,5,4.0,5.0,9.6,1.8,74.8,2.5,8.8,9.0,2.4,5.66,Desercion
25,9,0,0.0,No aplica,0.38,2,1,3,20.3,6.0,4.7,6.8,77.9,10.0,14.6,15.3,20.0,17.51,Aprobado
18,9,0,0.0,No aplica,0.11,0,1,3,19.6,7.0,1.9,6.5,98.2,6.4,10.2,14.1,16.0,14.27,Aprobado
26,1,0,0.0,No aplica,0.44,1,0,5,18.6,6.7,2.8,7.6,96.3,9.8,14.8,15.7,20.0,17.67,Aprobado
20,7,1,34.2,Hibrido,0.98,1,0,6,6.7,8.2,3.8,8.1,80.0,7.6,12.2,10.7,11.2,11.25,Aprobado
29,7,1,28.9,Presencial,2.45,0,0,7,0.0,7.3,3.9,6.5,76.0,5.9,12.4,11.6,13.2,12.56,Aprobado
28,4,1,30.4,Remoto,0.25,0,0,5,18.2,7.0,4.3,7.8,85.6,4.7,12.5,11.7,13.4,12.71,Aprobado
31,5,1,40.2,Presencial,1.27,2,1,7,9.5,5.7,6.5,3.8,79.5,5.7,9.1,12.9,7.4,9.39,Riesgo
29,8,1,40.7,Presencial,0.97,0,0,6,9.0,5.0,6.0,6.0,68.1,4.2,11.7,9.8,9.2,9.88,Riesgo
23,4,0,0.0,No aplica,0.54,0,0,5,27.2,8.3,2.5,8.0,84.5,10.0,14.1,12.8,20.0,16.66,Aprobado
32,1,1,35.2,Remoto,0.0,1,1,3,10.3,4.8,5.5,3.3,80.6,7.6,12.7,14.6,16.8,15.32,Aprobado
24,4,1,31.8,Presencial,1.95,4,0,7,12.4,5.3,6.1,6.2,67.2,5.1,8.1,12.3,8.1,9.36,Riesgo
22,3,1,26.3,Presencial,1.59,0,0,6,19.9,6.8,3.0,4.4,83.1,10.0,12.6,11.1,15.6,13.65,Aprobado
31,4,1,32.6,Remoto,0.46,2,1,6,8.4,8.1,4.3,6.9,87.2,4.6,12.7,16.5,10.1,12.54,Aprobado
23,3,1,16.2,Remoto,0.57,0,0,3,12.3,8.2,2.2,8.3,84.5,5.4,11.3,10.2,15.8,13.22,Aprobado
19,2,1,41.7,Remoto,0.29,0,1,7,7.8,6.6,5.5,5.6,86.6,5.2,13.0,9.7,10.2,10.61,Riesgo
25,10,0,0.0,No aplica,0.04,0,1,4,17.8,8.9,3.4,7.4,82.0,5.4,12.7,10.1,18.0,14.57,Aprobado
29,2,1,23.1,Remoto,0.08,0,1,5,17.9,6.1,3.7,9.3,88.1,6.1,9.6,10.9,14.0,12.19,Aprobado
20,8,0,0.0,No aplica,0.24,0,0,5,19.2,7.5,2.8,7.0,82.2,6.9,11.7,11.6,16.9,14.27,Aprobado
24,8,0,0.0,No aplica,0.45,0,0,3,19.4,8.3,1.9,6.8,85.7,7.7,11.8,12.6,18.8,15.54,Aprobado
19,7,0,0.0,No aplica,0.25,1,0,6,18.4,5.9,1.6,10.0,85.4,8.1,13.4,13.1,18.6,15.91,Aprobado
28,10,1,26.1,Presencial,2.04,0,1,4,4.9,6.9,8.0,4.9,66.8,6.2,10.2,7.9,11.8,10.31,Riesgo
25,1,1,19.4,Presencial,1.65,0,0,5,18.0,6.9,3.6,8.2,86.1,9.2,12.7,14.9,20.0,17.01,Aprobado
22,4,1,36.2,Presencial,2.3,0,0,5,7.9,6.6,7.3,3.4,80.5,4.1,11.1,10.0,10.9,10.67,Riesgo
21,2,1,40.2,Presencial,1.09,3,1,6,12.5,4.8,6.0,3.3,74.4,4.1,9.1,11.4,5.7,8.09,Riesgo
26,6,0,0.0,No aplica,0.1,0,0,7,22.7,7.4,1.0,7.6,89.7,6.5,13.4,15.2,20.0,17.24,Aprobado
28,7,1,27.6,Remoto,0.49,1,0,3,6.2,6.6,5.7,5.7,82.1,4.7,10.9,10.5,12.1,11.38,Aprobado
32,9,0,0.0,No aplica,0.51,2,0,7,21.6,6.3,2.8,7.0,91.9,9.3,14.7,14.5,20.0,17.29,Aprobado
24,4,0,0.0,No aplica,0.09,0,0,6,19.1,7.7,1.0,8.0,95.4,8.2,14.0,11.1,20.0,16.13,Aprobado
20,3,1,21.3,Hibrido,1.71,0,0,7,14.5,7.7,4.8,4.5,71.6,7.9,11.6,13.5,14.3,13.52,Aprobado
30,10,0,0.0,No aplica,0.43,1,0,4,18.2,6.4,4.1,7.0,94.7,4.5,13.1,13.6,18.4,15.9,Aprobado
27,7,0,0.0,No aplica,0.07,3,0,5,16.7,7.1,6.1,5.4,94.4,5.3,9.8,11.6,12.8,11.84,Aprobado
28,8,1,32.0,Presencial,1.58,3,0,3,1.6,7.2,10.0,1.3,66.8,5.0,9.9,8.0,7.5,8.13,Riesgo
19,5,1,30.1,Presencial,1.32,0,0,4,16.4,7.4,5.7,5.6,80.7,5.4,10.9,11.2,16.1,13.59,Aprobado
22,5,1,31.7,Presencial,1.93,0,0,7,14.5,6.1,7.3,4.9,65.4,4.7,9.9,7.5,10.0,9.23,Riesgo
29,4,1,17.8,Hibrido,0.89,0,0,6,85.0,7.7,6.3,6.6,78.2,4.6,8.5,7.3,8.0,7.89,Riesgo
30,8,1,35.3,Presencial,1.24,0,0,7,10.5,6.0,5.1,5.7,74.2,7.4,11.4,14.2,10.6,11.84,Aprobado
24,3,0,0.0,No aplica,0.4,4,0,7,18.5,7.2,4.1,7.7,91.7,7.4,10.9,11.4,14.5,12.85,Aprobado
30,10,0,0.0,No aplica,0.08,0,0,4,19.6,6.5,1.0,9.3,88.3,8.2,10.3,11.7,19.4,15.27,Aprobado
30,2,1,26.9,Presencial,1.73,0,1,4,14.1,5.2,6.1,4.8,90.7,7.1,11.7,9.7,11.5,11.0,Aprobado
23,5,1,32.6,Remoto,0.69,0,1,3,12.7,6.7,4.5,7.2,91.1,6.4,12.6,11.3,10.6,11.21,Aprobado
31,4,1,48.0,Remoto,0.0,3,0,5,5.8,6.2,7.9,5.8,76.4,6.1,8.4,7.1,6.2,6.91,Riesgo
22,7,1,31.6,Remoto,0.27,1,0,6,10.2,6.8,5.5,7.1,79.6,4.9,10.1,9.9,8.0,8.99,Riesgo
21,7,0,0.0,No aplica,0.57,0,0,7,0.0,6.5,1.0,8.8,78.0,10.0,14.3,13.8,20.0,17.0,Aprobado
28,10,1,22.1,Presencial,2.56,0,0,7,10.8,4.6,3.1,7.2,72.3,4.8,11.7,11.0,12.5,11.89,Aprobado
27,8,1,42.2,Presencial,2.73,0,0,4,85.0,6.8,7.8,3.4,67.9,6.7,12.4,13.0,10.2,11.48,Aprobado
20,3,0,0.0,No aplica,0.0,0,1,5,23.6,8.2,1.0,9.7,90.4,9.4,11.6,15.8,20.0,17.06,Aprobado
30,3,1,33.4,Presencial,2.05,3,1,5,5.0,4.4,10.0,2.0,82.6,3.4,13.1,13.0,9.9,11.47,Aprobado
20,9,0,0.0,No aplica,0.36,1,0,6,22.9,6.6,1.9,7.8,89.6,9.2,11.5,11.1,17.6,14.43,Aprobado
30,5,1,28.5,Presencial,0.96,1,0,7,14.7,5.5,4.5,7.6,69.5,7.2,11.3,9.3,14.1,12.1,Aprobado
18,1,1,18.6,Remoto,0.23,1,0,3,24.0,6.5,1.8,7.0,100.0,6.7,8.1,8.4,14.4,11.34,Aprobado
29,9,1,40.7,Presencial,1.09,1,0,4,2.8,7.1,6.1,5.6,83.7,5.5,9.3,10.4,6.7,8.33,Riesgo
29,7,1,27.8,Hibrido,1.5,2,0,4,3.9,6.1,6.0,4.1,80.0,7.4,10.8,13.3,12.7,12.5,Aprobado
29,1,1,20.3,Presencial,2.17,0,0,4,16.7,6.2,4.8,6.0,66.8,7.4,13.1,14.6,15.8,14.9,Aprobado
27,8,0,0.0,No aplica,0.61,1,1,3,23.3,7.2,2.7,6.5,100.0,6.5,14.1,18.4,20.0,18.34,Aprobado
25,7,1,26.0,Presencial,2.15,1,0,5,14.6,4.6,7.1,4.3,85.3,6.4,11.2,11.5,12.7,12.04,Aprobado
28,7,1,32.7,Presencial,2.25,0,0,6,4.6,7.1,6.7,5.9,60.1,3.8,8.1,7.1,7.8,7.65,Riesgo
22,9,0,0.0,No aplica,0.44,0,0,5,22.2,7.9,2.3,8.4,78.1,9.7,8.8,10.6,18.7,14.29,Aprobado
29,5,1,33.8,Remoto,0.1,3,1,5,7.6,5.9,7.9,4.1,83.0,5.0,9.6,6.8,8.5,8.21,Riesgo
26,5,1,12.4,Presencial,2.18,3,1,6,12.3,6.1,5.3,6.4,87.1,4.6,7.9,9.0,13.9,11.23,Aprobado
24,7,1,35.6,Presencial,2.2,0,1,6,2.7,6.2,4.9,5.9,81.6,4.3,9.2,9.2,5.6,7.4,Riesgo
25,2,1,29.2,Presencial,1.73,0,0,7,8.8,6.2,4.8,6.0,64.8,9.7,11.0,9.6,10.2,10.18,Riesgo
26,2,1,27.4,Presencial,1.8,1,0,3,9.6,6.3,6.7,4.2,85.1,5.9,11.3,14.0,9.7,11.31,Aprobado
18,9,1,29.1,Hibrido,0.89,2,0,7,4.2,5.0,7.1,4.6,64.3,6.1,9.8,8.6,10.1,9.59,Riesgo
20,3,0,0.0,No aplica,0.16,1,0,3,21.1,7.3,3.3,5.2,95.4,9.7,12.5,13.0,20.0,16.4,Aprobado
21,6,1,31.5,Remoto,0.28,3,0,3,14.1,5.5,4.8,8.5,84.0,6.6,10.7,8.7,9.4,9.45,Riesgo
19,3,0,0.0,No aplica,0.5,3,0,5,19.1,6.7,6.0,6.9,97.8,7.3,11.1,12.5,16.2,14.07,Aprobado
24,3,0,0.0,No aplica,0.41,0,0,5,17.3,6.7,3.0,9.8,92.3,8.9,14.8,18.9,20.0,18.63,Aprobado
28,6,1,31.3,Hibrido,0.53,0,0,5,12.2,6.6,4.0,7.9,80.8,8.8,13.5,14.3,15.6,14.79,Aprobado
27,9,1,38.6,Presencial,1.7,0,0,7,11.8,7.2,4.8,6.7,79.0,8.9,11.8,14.6,17.5,15.49,Aprobado
25,5,1,23.4,Hibrido,0.36,3,0,5,11.5,6.3,6.8,3.1,74.3,5.6,9.6,8.8,8.4,8.76,Riesgo
30,2,0,0.0,No aplica,0.16,1,0,7,27.4,5.5,3.3,8.2,95.5,10.0,16.8,18.4,20.0,18.88,Aprobado
26,3,1,37.6,Presencial,2.72,3,0,6,5.0,5.8,8.5,5.7,63.1,5.9,9.5,8.1,9.0,8.83,Riesgo
19,2,1,26.6,Hibrido,0.98,2,1,3,17.5,6.2,5.1,5.1,90.4,8.6,13.8,12.5,15.9,14.46,Aprobado
29,9,0,0.0,No aplica,0.46,2,0,5,16.8,6.8,3.6,7.6,96.2,7.7,14.0,15.4,15.8,15.32,Aprobado
26,4,1,18.4,Hibrido,1.72,0,0,3,6.6,6.2,4.0,7.0,78.2,5.2,10.3,13.3,6.8,9.45,Riesgo
27,4,0,0.0,No aplica,0.1,0,0,7,21.5,7.0,3.0,7.3,92.7,8.2,11.2,11.0,15.7,13.39,Aprobado
26,1,1,24.1,Presencial,1.94,3,0,4,6.9,6.9,8.3,5.0,73.2,4.4,6.3,7.7,4.8,5.97,Desercion
26,5,1,39.6,Presencial,1.76,1,1,6,7.7,5.8,7.8,5.2,94.2,4.2,11.1,7.8,6.9,8.01,Riesgo
19,10,1,24.6,Hibrido,1.41,4,0,3,4.8,7.2,9.7,2.7,75.4,7.5,11.5,9.7,9.6,10.01,Riesgo
26,5,1,22.8,Presencial,1.87,0,1,4,8.8,6.1,4.1,7.7,73.1,5.6,9.0,14.4,9.2,10.72,Riesgo
29,7,1,31.9,Remoto,0.37,1,0,7,12.5,5.3,5.7,4.4,84.6,3.7,10.4,9.8,7.6,8.82,Riesgo
22,2,1,24.5,Presencial,2.47,1,1,7,11.5,6.2,5.9,6.3,81.4,6.4,11.4,10.7,10.8,10.89,Riesgo
27,2,1,30.1,Presencial,1.81,0,1,3,9.5,4.8,8.3,4.7,91.2,6.9,10.7,12.6,13.3,12.57,Aprobado
18,8,0,0.0,No aplica,0.51,1,0,5,10.0,7.1,2.9,6.7,85.9,6.8,9.8,9.1,16.3,12.84,Aprobado
23,1,0,0.0,No aplica,0.32,3,0,7,14.0,6.5,2.6,8.8,79.1,5.4,9.8,11.7,15.7,13.32,Aprobado
24,5,1,31.0,Remoto,0.4,1,0,5,11.6,6.7,5.2,4.3,88.2,5.8,13.3,14.5,15.1,14.56,Aprobado
32,4,0,0.0,No aplica,0.14,1,1,4,20.0,5.6,4.6,6.8,93.9,8.5,13.7,13.8,16.7,15.23,Aprobado
21,1,0,0.0,No aplica,0.16,2,0,6,23.0,7.4,3.6,7.2,87.9,7.7,13.1,16.3,20.0,17.51,Aprobado
22,6,0,0.0,No aplica,0.48,2,0,6,16.9,7.0,3.5,8.7,100.0,8.6,13.7,11.8,17.6,15.08,Aprobado
24,10,1,31.3,Presencial,1.18,2,0,7,11.7,7.3,6.6,6.0,74.1,6.8,9.9,9.8,10.5,10.17,Riesgo
32,1,1,37.1,Presencial,2.82,1,0,7,0.4,6.1,8.7,2.0,63.7,3.2,8.3,10.5,5.6,7.61,Riesgo
30,9,1,34.8,Presencial,1.65,0,1,3,3.3,6.7,7.3,4.5,80.6,6.3,11.2,13.2,13.7,13.05,Aprobado
18,6,1,28.4,Remoto,0.36,1,0,7,12.3,6.8,5.4,7.7,86.6,7.1,11.6,11.4,13.9,12.69,Aprobado
21,8,1,38.3,Presencial,1.3,4,0,3,4.9,4.0,9.6,3.6,78.4,4.4,7.8,7.1,2.7,5.04,Desercion
30,1,1,27.7,Presencial,1.84,3,1,7,10.1,6.9,7.2,3.9,88.9,5.3,8.3,9.8,8.0,8.6,Riesgo
18,9,1,32.0,Remoto,0.32,1,1,7,5.3,6.2,5.0,6.2,72.2,6.6,10.2,7.2,5.3,6.85,Riesgo
30,1,1,27.5,Presencial,1.05,0,1,4,9.8,5.5,6.5,7.1,87.7,5.4,9.9,10.6,11.7,11.01,Aprobado
22,10,1,33.7,Hibrido,0.8,3,0,5,12.0,5.7,7.1,4.2,79.9,7.3,11.4,12.3,10.9,11.42,Aprobado
31,7,1,27.0,Presencial,1.58,0,1,6,5.6,7.5,4.4,5.5,78.9,5.7,10.6,9.7,9.5,9.78,Riesgo
22,4,1,43.2,Presencial,1.39,0,0,7,9.6,5.7,9.1,3.8,71.3,4.2,11.5,10.9,5.7,8.42,Riesgo
24,1,1,46.1,Hibrido,1.03,0,0,7,9.7,6.0,5.6,5.3,71.2,5.2,9.5,9.9,11.4,10.57,Riesgo
27,7,0,0.0,No aplica,0.15,1,1,4,21.3,5.3,2.0,8.6,93.6,8.2,13.4,11.6,17.5,14.91,Aprobado
19,1,1,42.3,Hibrido,0.91,0,0,3,8.6,5.4,5.4,5.7,73.3,3.9,8.2,8.6,8.5,8.47,Riesgo
26,7,0,0.0,No aplica,0.0,0,0,7,25.3,7.6,1.0,8.8,78.9,8.4,13.8,11.8,19.8,16.2,Aprobado
25,8,0,0.0,No aplica,0.41,2,1,7,22.2,7.6,3.7,8.6,100.0,7.9,15.2,14.5,20.0,17.39,Aprobado
29,3,1,27.4,Remoto,0.36,1,0,4,5.5,6.6,3.9,5.9,83.7,7.8,11.2,11.2,8.8,10.0,Riesgo
32,3,1,30.3,Presencial,2.27,0,0,5,13.6,6.8,5.6,7.0,78.9,5.4,8.6,12.2,14.1,12.43,Aprobado
27,3,1,28.4,Remoto,0.06,0,0,7,21.9,5.9,3.0,8.3,89.8,8.8,9.4,12.8,18.6,15.02,Aprobado
24,3,1,16.9,Presencial,1.32,2,0,4,14.2,6.4,4.5,5.3,87.8,7.0,11.6,15.1,12.5,13.1,Aprobado
24,2,1,39.2,Presencial,2.44,0,0,6,14.7,5.2,4.4,8.0,75.6,6.1,10.6,10.0,12.1,11.17,Aprobado
24,3,1,47.2,Presencial,1.71,0,0,5,8.4,5.5,7.1,3.9,84.6,4.4,12.6,11.8,7.4,9.76,Riesgo
30,7,1,40.2,Remoto,0.34,4,1,7,6.3,5.5,6.5,4.0,81.6,6.7,11.9,12.7,7.9,10.14,Riesgo
22,4,1,38.7,Presencial,1.83,1,1,5,3.3,4.9,7.6,4.0,81.1,7.6,11.0,11.8,8.4,9.94,Riesgo
20,8,1,31.8,Hibrido,0.89,0,0,3,15.9,8.1,5.1,5.4,72.0,6.2,11.5,13.6,14.8,13.78,Aprobado
23,9,1,23.3,Presencial,1.96,1,0,7,6.1,6.0,3.7,6.6,74.7,5.1,7.2,9.6,8.5,8.57,Riesgo
18,8,1,30.6,Presencial,1.84,1,1,4,12.6,6.3,6.7,4.2,88.8,7.1,10.6,13.1,11.1,11.6,Aprobado
19,6,1,46.8,Presencial,0.72,1,0,4,3.7,4.9,5.6,6.5,70.6,4.0,10.0,9.5,3.8,6.75,Riesgo
19,4,1,27.2,Remoto,0.54,1,1,3,14.5,3.8,7.4,4.8,85.9,9.7,13.8,15.6,17.5,16.19,Aprobado
29,10,1,26.4,Hibrido,0.23,2,0,5,15.6,7.5,4.8,6.5,85.2,5.8,10.7,10.5,13.3,11.94,Aprobado
28,3,1,38.9,Presencial,1.74,0,1,7,11.1,6.2,5.1,6.9,78.4,4.8,10.0,14.7,11.1,11.96,Aprobado
28,5,1,39.4,Presencial,1.83,0,1,4,5.0,4.5,8.0,6.1,67.8,6.5,9.6,9.3,6.8,8.11,Riesgo
24,5,1,23.2,Remoto,0.68,0,0,4,15.0,5.7,3.1,6.9,81.2,7.5,11.8,12.8,10.4,11.4,Aprobado
28,8,1,27.9,Presencial,1.73,2,0,5,10.3,7.8,3.4,6.5,77.8,6.4,11.7,13.5,9.7,11.24,Aprobado
20,6,1,26.0,Remoto,0.09,2,0,5,10.0,6.6,7.1,5.9,66.7,6.2,9.2,13.9,10.9,11.46,Aprobado
31,8,1,30.6,Remoto,0.68,2,0,7,9.5,4.0,7.1,6.3,77.9,4.4,11.3,13.1,8.9,10.64,Riesgo
25,10,1,38.8,Presencial,1.26,0,0,3,9.2,5.7,7.0,5.2,66.1,6.6,8.2,7.4,10.0,8.86,Riesgo
32,4,0,0.0,No aplica,0.43,1,0,4,14.2,6.9,2.3,7.8,89.2,7.0,11.6,14.5,20.0,16.67,Aprobado
20,9,1,38.7,Remoto,0.23,2,0,6,0.0,6.2,5.9,5.5,69.7,7.2,12.0,9.2,9.6,9.96,Riesgo
25,2,1,30.8,Presencial,1.72,0,0,5,13.0,6.3,4.9,5.7,70.6,9.0,11.3,11.1,16.8,13.99,Aprobado
28,10,1,48.0,Presencial,2.63,4,0,6,6.3,3.9,10.0,3.1,79.4,4.1,8.4,7.3,0.8,4.27,Desercion
25,2,0,0.0,No aplica,0.75,0,1,5,29.3,6.4,1.8,7.9,93.0,7.1,12.1,12.4,20.0,16.14,Aprobado
24,9,1,29.2,Remoto,0.54,1,0,3,10.8,5.5,6.4,6.1,72.6,5.5,5.6,8.4,9.1,8.19,Riesgo
20,4,1,34.6,Remoto,0.65,2,0,7,6.7,6.6,7.9,5.5,75.4,4.8,8.4,10.9,7.7,8.8,Riesgo
23,10,1,27.3,Presencial,1.42,2,0,6,15.7,5.6,5.8,4.9,69.5,5.8,9.3,12.0,9.6,10.26,Riesgo
21,2,1,15.6,Presencial,1.07,1,0,3,12.3,6.2,6.3,5.6,70.9,8.9,11.3,11.0,14.0,12.56,Aprobado
22,5,1,28.1,Presencial,1.72,0,0,3,11.9,6.2,6.9,4.5,81.3,5.9,10.7,8.5,9.5,9.44,Riesgo
28,10,1,27.9,Presencial,0.27,1,0,4,16.4,5.5,6.6,5.1,78.8,8.0,11.7,13.1,13.1,12.82,Aprobado
27,1,0,0.0,No aplica,0.24,0,0,7,23.1,8.2,1.4,8.4,100.0,8.5,14.2,15.6,20.0,17.52,Aprobado
